D5,0.917
A4,0.334
A4,0.5
A4,0.25
A6,0.334
A5,0.334
B-3,0.25
G4,0.334
B-4,1.667
B4,0.25
C#5,0.334
E-5,1.5
F5,1.0
F#5,0.334
G#5,0.25
C6,0.25
A4,1.667
E-4,0.0
E-6,0.667
E-4,0.25
B-5,3.0
B5,0.25
C6,0.25
G#5,0.25
E5,1.167
F#5,0.584
G#5,0.25
C6,0.667
G#5,1.0
A5,0.25
A3,1.0
G5,1.0
E5,0.25
D5,0.334
D5,2.334
C5,1.0
E-3,1.084
F4,0.25
C5,0.0
D4,0.25
F4,0.334
F4,0.334
B-4,0.667
G4,0.334
C3,1.667
E-5,0.75
D4,1.667
C#5,2.0
D3,1.25
B-4,0.25
E-4,0.25
G#4,0.25
F4,0.667
B-1,0.25
E4,0.167
G#6,0.25
G#5,1.0
G#5,0.25
D5,0.25
E6,3.667
E6,0.334
F6,0.25
B-5,0.417
C5,0.334
F4,0.334
A4,1.25
C5,0.25
A4,0.25
C4,1.0
B-2,0.334
F#3,0.25
E5,3.167
D4,0.334
D4,0.084
D5,0.334
B4,0.25
C5,1.0
A4,0.25
F5,0.25
G#4,0.667
G4,1.0
F#4,1.167
F4,0.25
E5,0.0
C#5,0.667
C5,0.334
B-4,0.5
E4,3.667
F4,0.834
G4,0.25
G4,0.25
A4,0.334
G5,1.334
C5,0.334
B-4,0.25
G#4,0.25
A4,0.667
E3,1.667
F3,0.25
B-3,0.834
B1,0.25
G4,0.334
F4,2.0
E-4,0.25
C#4,0.25
E4,3.0
F#4,0.75
G#4,0.5
B-4,0.75
B4,0.334
C#5,0.5
D5,0.25
F5,1.0
C6,1.5
A5,3.084
F5,0.75
D5,0.25
G#4,1.0
A4,0.5
D2,2.5
A4,0.584
F5,0.667
G#4,0.25
G4,3.5
F4,0.334
E-4,2.0
D4,0.334
C4,0.25
G#4,0.334
F3,0.75
F4,2.0
D4,1.25
C4,0.25
G4,0.25
E4,2.667
F4,0.25
B-4,1.084
A4,2.0
C4,0.917
B-2,1.667
F#3,1.0
E5,1.334
D4,0.334
D4,2.0
D5,0.334
F5,0.5
G#4,0.25
G4,2.25
F4,0.25
B-3,3.0
A3,0.834
C6,0.334
D6,3.667
C6,0.334
E5,1.75
C5,3.334
C5,0.334
A4,1.667
G4,0.834
F5,0.25
C5,1.5
D5,0.334
F#3,1.0
F5,0.25
A4,0.75
A4,2.334
A4,0.75
A6,0.0
A5,0.25
B-3,2.417
G4,3.334
B-4,0.334
B4,0.167
D5,0.584
C3,0.25
D5,0.75
B-4,1.0
E5,0.25
C5,0.75
G#4,1.75
F4,1.75
G4,0.25
G#4,0.334
B-4,0.334
B4,1.334
D5,0.75
C3,0.25
D5,0.25
B4,0.334
C5,2.0
A4,0.25
A5,0.667
A4,0.25
D6,1.0
F5,0.417
C#5,2.417
D5,0.5
F5,1.0
B-5,0.25
B-5,0.25
G#5,0.25
F5,0.75
G#5,1.0
C5,0.084
E5,0.334
G5,0.417
D5,0.167
D4,0.75
D4,0.25
D5,0.25
F5,0.417
A5,2.0
G5,2.5
E5,0.25
D5,0.084
G3,0.0
G6,0.334
D6,1.0
E-4,0.334
E-4,1.25
B-4,2.0
B4,0.917
C#5,2.0
E-5,1.0
F5,0.667
F#5,2.667
G#5,0.25
C6,0.25
G#5,0.25
F5,3.25
G#5,0.334
F5,0.334
F5,0.334
G5,2.0
G5,0.75
G#5,0.25
D6,0.25
F5,0.25
D5,0.75
D5,0.5
E-4,0.25
B-5,0.334
B5,2.001
G#5,0.25
F5,0.25
G#5,0.667
F5,2.0
G#5,0.167
F5,2.0
G#5,0.25
F5,1.0
G5,0.25
G#5,3.667
F5,0.5
F5,0.334
B2,0.334
B-4,0.25
F3,0.084
C5,0.584
F3,1.667
F6,0.25
G5,0.25
E6,1.0
E-6,0.167
F5,1.0
E5,0.25
D5,0.25
E5,0.75
F5,1.0
E5,0.25
D5,0.667
D5,1.0
B2,0.25
B-4,2.0
F3,0.5
C5,0.334
C#3,0.0
C3,2.167
F6,0.667
F5,0.417
E-6,0.5
D4,0.917
C4,0.25
C5,2.5
F5,0.334
F4,0.25
C5,1.0
D4,0.417
F4,0.5
D5,0.75
G#5,0.25
D4,0.5
C5,0.75
B-4,0.25
G#4,0.25
F5,0.5
F5,0.75
F4,1.0
A3,3.334
F4,0.417
G4,0.667
G#4,0.5
B-4,2.0
B4,0.167
C5,0.334
B-4,1.0
G#4,0.25
A4,0.667
D4,0.5
F4,2.5
D5,3.0
F5,0.0
B-5,1.084
B-5,0.667
G#5,0.25
A5,0.5
A3,0.25
G5,0.25
E5,0.25
D5,0.334
D5,1.0
G#4,0.25
B4,3.334
G#4,0.5
F4,2.334
G4,1.25
G3,0.75
F#2,0.5
B-3,0.584
E-3,0.75
D3,3.0
G#4,0.25
F4,0.75
D5,0.667
D4,0.667
F4,0.334
F4,3.334
A5,0.334
G#5,3.0
A5,0.5
F5,0.5
E-6,0.667
D6,0.167
G5,2.75
G#5,3.5
B3,0.25
B-6,3.25
G6,0.25
F3,0.417
C5,0.584
C#3,0.5
C3,0.667
F6,0.25
F5,0.25
F5,0.25
A5,0.25
D5,0.25
F5,0.25
B-5,0.25
B-5,2.25
G#5,0.75
A5,1.25
G#5,0.5
D5,0.25
C5,0.75
E4,0.25
F5,0.25
F5,0.25
G5,0.334
E3,0.25
C4,1.084
B-4,1.5
B-3,0.25
D5,0.25
B3,0.25
D5,0.25
D5,1.167
D6,1.334
C6,0.417
B-5,0.5
G#5,0.25
A5,0.25
G#5,0.334
D5,0.75
E6,1.5
E6,0.334
F6,1.0
B-5,0.917
C5,0.667
F4,0.25
A4,0.25
C5,2.0
D5,0.334
E5,0.25
F5,3.334
F#5,0.25
G#5,0.334
C6,2.25
G#5,0.25
A5,0.25
F5,0.667
C5,0.25
D5,0.25
A4,0.417
F5,2.334
F2,0.0
D4,0.25
B3,0.25
G#3,1.0
F3,0.25
G3,1.0
B-3,1.334
G#3,2.0
D3,3.25
F4,0.5
C4,2.75
D4,2.0
F4,2.5
F4,2.334
B-4,0.25
G4,0.5
F4,0.667
E-4,0.25
D4,0.25
C4,0.25
G#4,3.334
F3,0.667
F4,0.0
D4,0.75
C4,0.25
B3,2.917
E4,1.167
C4,0.25
C6,0.25
A5,0.334
F5,0.25
F5,0.0
D5,0.25
G5,0.667
E5,0.834
F5,3.5
C#5,0.25
D5,0.25
F5,0.584
G2,0.75
G#4,3.084
B2,0.25
